Papilla_of_tongue	Papilla_of_the_Tongue
Facial_nerve	Facial_Nerve
Mesoderm	Mesoderm
Anterior_longitudinal_ligament	Anterior_Longitudinal_Ligament
Inferior_vesical_artery	Inferior_Vesical_Artery
Subcapsular_lens_epithelium	Subcapsular_Epithelium_of_the_Lens
Tear	Tear
Loose_connective_tissue	Loose_Connective_Tissue
Immune_system	Immune_System
Lymph_node_of_neck	Cervical_Lymph_Node
Coccygeal_nerve	Coccygeal_Nerve
Cardiac_ventricle	Cardiac_Ventricle
Troponin_I	Troponin-I
Pulmonary_artery	Pulmonary_Artery
Syncytiotrophoblast_cell	Syncytiotrophoblastic_Cell
Chief_cell_of_stomach	Chief_Cell_of_the_Stomach
Axial	Axial
Troponin_T	Troponin_T
Upper_lobe_of_lung	Lung_Upper_Lobe
Calcium_binding_protein	Calcium_Binding_Protein
Sacrococcygeal_joint	Sacrococcygeal_Joint
Ureter	Ureter
Ameloblast	Ameloblast
Stapes	Stapes
Pulmonary_trunk	Pulmonary_Artery
Shoulder	Shoulder
Iliolumbar_vein	Iliolumbar_Vein
Umbilicus	Umbilical_Region
Carpal_bone	Carpal_Bone
Pectoralis_minor	Pectoralis_Minor
Adventitial_cell	Pericyte
Head_of_pancreas	Head_of_the_Pancreas
Brain	Ventricle_Brain
Brain	Brain
Sertoli_cell	Sertoli_Cell
Wrist_joint	Wrist_Joint
Left_ureter	Left_Ureter
Norepinephrine	Norepinephrine_Base
Norepinephrine	Norepinephrine
Peritoneal_cavity	Peritoneal_Cavity
Minor_salivary_gland	Minor_Salivary_Gland
Frontal_lobe	Frontal_Lobe
Mesothelial_cell	Mesothelial_Cell
Interventricular_septum	Interventricular_Septum
Continuous_capillary	Continuous_Capillary
Eosinophil	Eosinophil
Mitochondrial_crista	Mitochondrial_Crista
Gas	Gas
Larynx	Larynx
Seventh_thoracic_vertebra	T7_Vertebra
Anterior_surface_of_stomach	Anterior_Surface_of_the_Stomach
Superior	Superior_Sagittal_Sinus
Superior	Superior
Portion_of_cytosol	Cytoplasmic_Matrix
Portion_of_cytosol	Cytosol
Periosteal_cell	Periosteal_Cell
Fissure	Fissure
Tonsillar_fossa	Tonsillar_Fossa
Lateral_geniculate_body	External_Geniculate_Body
Endometrium	Endometrium
Dendritic_cell	Dendritic_Cell
Clavicle	Clavicle
External_capsule	External_Capsule
Bronchus	Bronchus
