Anterior_longitudinal_ligament	Anterior_Longitudinal_Ligament	anterior longitudinal ligament
Immune_system	Immune_System	immune system
Troponin_I	Troponin-I	troponin i
Troponin_T	Troponin_T	troponin t
Calcium_binding_protein	Calcium_Binding_Protein	calcium binding protein
Set_of_joints	Joint	joints
Sacrococcygeal_joint	Sacrococcygeal_Joint	sacrococcygeal joint
Pectoralis_minor	Pectoralis_Minor	pectoralis minor
Sertoli_cell	Sertoli_Cell	sertoli cell
Left_ureter	Left_Ureter	left ureter
Minor_salivary_gland	Minor_Salivary_Gland	minor salivary gland
Interventricular_septum	Interventricular_Septum	interventricular septum
Mitochondrial_crista	Mitochondrial_Crista	mitochondrial crista
Seventh_thoracic_vertebra	T7_Vertebra	thoracic vii vertebra
Periosteal_cell	Periosteal_Cell	periosteal cell
Dendritic_cell	Dendritic_Cell	dendritic cell
External_capsule	External_Capsule	external capsule
Aggregated_lymphoid_follicle_of_small_intestine	Peyer_s_Patch	peyer s patch
Tarsal_plate_of_eyelid	Tarsal_Plate	tarsal plate
Pericardiacophrenic_vein	Pericardiacophrenic_Vein	pericardiacophrenic vein
Axoaxonic_synapse	Axoaxonic_Synapse	axoaxonic synapse
Radial_nerve	Radial_Nerve	radial nerve
Parietal_pleura	Parietal_Pleura	parietal pleura
Metatarsal_bone	Metatarsal_Bone	metatarsal bone
Mediastinal_lymph_node	Mediastinal_Lymph_Node	mediastinal lymph node
Microtubule_triplet	Microtubule_Triplet	microtubule triplet
Chromaffin_cell	Chromaffin_Cell	chromaffin cell
Anal_column	Anal_Column	anal column
Lacrimal_canaliculus	Lacrimal_Canaliculus	lacrimal canaliculus
Supra_orbital_vein	Supra-orbital_Vein	supra orbital vein
Levator_palpebrae_superioris	Levator_Palpebrae_Superioris	levator palpebrae superioris
Nerve_plexus	Nerve_Plexus	nerve plexus
Ependymal_cell	Ependymal_Cell	ependymal cell
Postcentral_sulcus	Postcentral_Sulcus	postcentral sulcus
Cerebral_aqueduct	Cerebral_Aqueduct	cerebral aqueduct
Endometrial_stroma	Endometrial_Stroma	endometrial stroma
Adherens_junction	Anchoring_Junction	adhesive junction
Appendix	Vermiform_Appendix	vermiform appendix
Mesothelial_cell_of_pleura	Pleural_Mesothelial_Cell	pleural mesothelial cell
Elastin_fiber	Elastin_Fiber	elastin fiber
Fovea_centralis	Fovea_Centralis	fovea centralis
Macula_lutea	Macula_Lutea	macula lutea
Chief_cell	Chief_Cell	chief cell
Reticular_cell	Reticular_Cell	reticular cell
Third_cervical_vertebra	C3_Vertebra	cervical iii vertebra
Elbow_joint	Elbow_Joint	elbow joint
Muscle_of_tongue	Tongue_Muscle	tongue muscle
Late_endosome	Late_Endosome	late endosome
Gamma_motor_neuron	Gamma_Motor_Neuron	gamma motor neuron
Physical_state	Physical_State	physical state
Left_kidney	Left_Kidney	left kidney
Portal_lobule	Portal_Lobule	portal lobule
Fascia_lata	Fascia_Lata	fascia lata
Extrahepatic_bile_duct	Extrahepatic_Bile_Duct	extrahepatic bile duct
Membranous_cytoplasmic_organelle	Membranous_Cytoplasmic_Organelle	membranous cytoplasmic organelle
Special_sense_organ_system	Special_Sense_Organ_System	special sense organ system
Keratinized_squamous_cell_of_esophagus	Esophageal_Squamous_Cell	esophageal squamous cell
Posterior_temporal_artery	Posterior_Temporal_Artery	posterior temporal artery
Nuclear_matrix	Nuclear_Matrix	nuclear matrix
Common_iliac_lymph_node	Iliac_Lymph_Node	iliac lymph node
Efferent_ductule	Efferent_Ductule	efferent ductule
Ductus_arteriosus	Ductus_Arteriosus	ductus arteriosus
Posterior_meningeal_artery	Posterior_Meningeal_Artery	posterior meningeal artery
Fourth_sacral_vertebra	S4_Vertebra	sacral iv vertebra
Beta_adrenergic_receptor	Beta_Adrenergic_Receptor	beta adrenergic receptor
Flexor_carpi_ulnaris	Flexor_Carpi_Ulnaris	flexor carpi ulnaris
Orbital_sulcus	Orbital_Sulcus	orbital sulcus
Sex_chromosome	Sex_Chromosome	sex chromosome
Papillary_muscle	Papillary_Muscle	papillary muscle
Bowman_s_space	Urinary_Space	urinary space
Superior_vena_cava	Superior_Vena_Cava	superior vena cava
Brachial_vein	Brachial_Vein	brachial vein
Right_ovary	Right_Ovary	right ovary
Chondrocyte	Cartilage_Cell	cartilage cell
Band_cell	Band_Cell	band cell
Pulmonary_lobule	Pulmonary_Lobule	pulmonary lobule
Basophil_cell	Basophilic_Cell	basophilic cell
Tuberculum_sellae	Tuberculum_Sellae	tuberculum sellae
Dorsal_metatarsal_vein	Dorsal_Metatarsal_Vein	dorsal metatarsal vein
Renal_interstitial_cell	Renal_Interstitial_Cell	renal interstitial cell
Lower_eyelid	Lower_Eyelid	lower eyelid
Descending_limb_of_loop_of_Henle	Descending_Limb_of_the_Henle_s_Loop	descending limb of henle s loop
Myelinated_nerve_fiber	Myelinated_Nerve_Fiber	myelinated nerve fiber
Primary_oocyte	Primary_Oocyte	primary oocyte
Tunica_intima	Tunica_Intima	tunica intima
Right_common_iliac_artery	Right_Common_Iliac_Artery	right common iliac artery
Left_renal_artery	Left_Renal_Artery	left renal artery
Myo_inositol	Inositol	myo inositol
Upper_gastrointestinal_tract	Upper_Gastrointestinal_Tract	upper gastrointestinal tract
Submandibular_duct	Submandibular_Duct	submandibular duct
Coronary_artery	Coronary_Artery	coronary artery
Deep_vein	Deep_Vein	deep vein
Superior_vesical_artery	Superior_Vesical_Artery	superior vesical artery
Semicircular_canal	Semicircular_Canal	semicircular canal
Layer_of_retina	Retina_Layer	retina layer
Squamous_cell_of_ectocervix	Ectocervical_Squamous_Cell	ectocervical squamous cell
Compact_bone	Cortical_Bone	cortical bone
Blood_vessel	Blood_Vessel	blood vessel
Ciliary_process	Ciliary_Process	ciliary process
Prostatic_urethra	Prostatic_Portion_of_the_Male_Urethra	prostatic urethra
Peripheral_nervous_system	Peripheral_Nervous_System	peripheral nervous system
Collateral_sulcus	Collateral_Fissure	collateral fissure
Intestinal_epithelium	Intestinal_Epithelium	intestinal epithelium
Atlanto_occipital_joint	Atlanto-occipital_Joint	atlanto occipital joint
Decidua_basalis	Decidua_Basalis	decidua basalis
Buccal_mucosa	Buccal_Mucosa	buccal mucosa
